id,alt,date,InBurrow,x,y
tm2,95.1,18/11/2014 23:16,0,451705.8,7973752
tm2,83.43999,18/11/2014 23:21,0,451697.3,7973735
tm2,106.11,18/11/2014 23:26,0,451720.2,7973781
tm2,91.11,18/11/2014 23:31,0,451718.6,7973769
tm2,66.55,18/11/2014 23:35,0,451704.9,7973743
tm2,100.13,18/11/2014 23:40,0,451724.3,7973775
tm2,114.89,18/11/2014 23:45,0,451721.4,7973781
tm2,87.86,18/11/2014 23:50,0,451718.6,7973766
tm2,90.8,18/11/2014 23:55,0,451721,7973770
tm2,100.34,19/11/2014 00:01,0,451723,7973777
tm2,141.59,19/11/2014 00:06,0,451728.7,7973794
tm2,86.68,19/11/2014 00:11,0,451759,7973764
tm2,98.91,19/11/2014 00:16,0,451767.5,7973760
tm2,70.83,19/11/2014 00:21,0,451782.7,7973781
tm2,105.25,19/11/2014 00:25,0,451783.9,7973768
tm2,97.35,19/11/2014 00:30,0,451809.3,7973763
tm2,113.42,19/11/2014 00:35,0,451823.9,7973770
tm2,98.63,19/11/2014 00:40,0,451859.6,7973787
tm2,97.47,19/11/2014 00:44,0,451856.4,7973796
tm2,97.17,19/11/2014 00:49,0,451837.3,7973866
tm2,106.94,19/11/2014 00:54,0,451827.5,7973906
tm2,91.66,19/11/2014 00:59,0,451821.1,7973917
tm2,108.19,19/11/2014 01:04,0,451823.9,7973928
tm2,92.07,19/11/2014 01:08,0,451827.5,7973923
tm2,36.22,19/11/2014 01:13,0,451873.4,7973928
tm2,113.09,19/11/2014 01:18,0,451942.4,7973895
tm2,94.7,19/11/2014 01:23,0,452018.1,7973933
tm2,90.77,19/11/2014 01:27,0,452107.9,7973995
tm2,105.19,19/11/2014 01:32,0,452113.9,7974007
tm2,97.25,19/11/2014 01:37,0,452126,7974010
tm2,92.02,19/11/2014 01:42,0,452120.7,7974017
tm2,92.67,19/11/2014 01:47,0,452111.4,7974018
tm2,100.15,19/11/2014 01:52,0,452125.6,7974011
tm2,88.25,19/11/2014 01:57,0,452118.3,7974014
tm2,126.16,19/11/2014 02:02,0,452121.1,7974016
tm2,116.92,19/11/2014 02:07,0,452129.2,7974011
tm2,115.92,19/11/2014 02:11,0,452124.3,7974025
tm2,97.9,19/11/2014 02:16,0,452109.8,7974041
tm2,47.97,19/11/2014 02:26,0,452095.2,7974084
tm2,139.84,19/11/2014 02:31,0,452139.4,7974104
tm2,77.56,19/11/2014 02:36,0,452113.6,7974120
tm2,123.79,19/11/2014 02:45,0,452156.7,7974121
tm2,74.98,19/11/2014 02:50,0,452132.9,7974127
tm2,95.04,19/11/2014 03:07,0,452170.8,7974152
tm2,110.97,19/11/2014 03:15,0,452200.9,7974190
tm2,112.87,19/11/2014 03:19,0,452155.4,7974152
tm2,116.32,19/11/2014 03:48,0,452008.6,7974050
tm2,96.56,19/11/2014 03:53,0,452000.9,7974059
tm2,96.8,19/11/2014 03:58,0,451975.9,7974059
tm2,112.89,19/11/2014 04:07,0,451958.9,7974069
tm2,90.38,19/11/2014 04:12,0,451950,7974066
tm2,124.03,19/11/2014 04:17,0,451958.6,7974059
tm2,80.56,19/11/2014 04:22,0,451930.7,7974054
tm2,110.19,19/11/2014 04:27,0,451920.7,7974051
tm2,97.28,19/11/2014 04:31,0,451910.6,7974064
tm2,97.92,19/11/2014 04:36,0,451866.2,7974068
tm2,68.51,19/11/2014 04:46,1,451828.4,7974158
tm2,137.7,19/11/2014 18:43,0,451960.9,7974059
tm2,79.53,19/11/2014 18:47,0,452030.6,7974084
tm2,96.75,19/11/2014 18:52,0,452025.8,7974094
tm2,97.65,19/11/2014 18:57,0,452030.6,7974085
tm2,104.36,19/11/2014 19:02,0,452027.9,7974085
tm2,80.45,19/11/2014 19:07,0,452037.9,7974086
tm2,100.92,19/11/2014 19:11,0,452032.6,7974094
tm2,88.23,19/11/2014 19:17,0,452027.4,7974088
tm2,71.66,19/11/2014 19:22,0,452047.9,7974100
tm2,80.06,19/11/2014 19:27,0,452052,7974094
tm2,90.48,19/11/2014 19:32,0,452091.4,7974098
tm2,84.50999,19/11/2014 19:36,0,452102.1,7974066
tm2,85.11,19/11/2014 19:41,0,452102.9,7974025
tm2,76.18,19/11/2014 19:46,0,452025.8,7973933
tm2,93.03,19/11/2014 19:51,0,451913.5,7973869
tm2,83.53,19/11/2014 19:55,0,451877.4,7973796
tm2,73.01,19/11/2014 20:00,0,451872.3,7973755
tm2,88.6,19/11/2014 20:05,0,451876.7,7973754
tm2,107.36,19/11/2014 20:10,0,451886.8,7973748
tm2,89.82,19/11/2014 20:14,0,451881.5,7973753
tm2,82.29,19/11/2014 20:19,0,451880.8,7973748
tm2,41.62,19/11/2014 20:24,0,451863.8,7973735
tm2,69.61,19/11/2014 20:29,0,451859.8,7973732
tm2,69.93999,19/11/2014 20:34,0,451849.3,7973729
tm2,106.88,19/11/2014 20:39,0,451845.7,7973737
tm2,71.32,19/11/2014 20:45,0,451840,7973728
tm2,103.23,19/11/2014 20:50,0,451825.6,7973724
tm2,119.62,19/11/2014 20:54,0,451816.2,7973732
tm2,105.15,19/11/2014 20:59,0,451810.2,7973730
tm2,121.22,19/11/2014 21:04,0,451791.3,7973734
tm2,133.52,19/11/2014 21:09,0,451791.7,7973738
tm2,102.05,19/11/2014 21:14,0,451786,7973734
tm2,130.33,19/11/2014 21:48,0,451820.5,7973799
tm2,85.97,19/11/2014 21:53,0,451833.7,7973841
tm2,92.05,19/11/2014 21:58,0,451832,7973884
tm2,98.50999,19/11/2014 22:05,0,451836.8,7973903
tm2,79.54,19/11/2014 22:18,0,451836.4,7973909
